------,------
Detect window,창 탐지
Frame 2,프레임 2
setting,세팅
Lorem Ipsum is simply dummy text of the printing anc,로렘 입섬은 단순히 인쇄용 개미의 더미 텍스트이다
typesetting,조판
industry's standard dummy text ever since the 1500s,1500년대 이후 업계 표준 더미 텍스트
when an,어느 때는
printer took a,프린터가 가져갔다
of type anc,활자의
scrambled it to,그것을 급히 하다
specimen book. It has,견본장. 정말 그랬어요.
"survived not only five centuries, but also the leap intc",5세기 뿐만 아니라 비약적인 발전에도 살아남았다
"electronic typesetting, remaining essentially unchanged","전자식자판, 기본적으로 변경되지 않은 상태 유지"
It was,그랬다.
in the 1960s with the release,1960년대 개봉과 함께
"Letraset sheets containing Lorem Ipsum passages, anc",레트라 세트에는 로렘 입숨 구절이 들어 있습니다
more,더
with,와 함께
publishing software like,소프트웨어 게시
Aldus PageMaker including versions of Lorem Ipsum.,로렘 입섬 버전을 포함한 Aldus PageMaker.
 Bridge,다리
 Bridge -,브리지 -
