------,------
C: ime-Over  ,C: 타임오버
mainpyM overlaypy,메인 pyM 오버레이 파이
> @ while loop,> @ 루프 중
mainspecM,주 스펙M
translatepy,번역을 하다
 mainpyM x overlaypy,mainpyMx오버레이피
mainspec - Realtime-Overlay-Translater,mainspec - 실시간-오버레이-번역기
main.py > while loop,main.py > while 루프
= caps.get_screenshot(),= caps.get_hot♡
74,74
75,75
== False):,== 거짓):
76,76
= Overlay(frame2),= 오버레이(프레임2)
79,79
"80,","80,"
i in,나는 에 있다
or,또는
==,==
85,85
86,86
== NULL or,== NULL 또는
<=,<=
== True):,== 참):
file_name),file_name)
92,92
93,93
= finalresult,= 최종 결과
95,95
97,97
"finalresult, file_name) 98","최종 결과, file_name) 98"
99,99
102,102
103,103
>=,>=
104,104
106,106
11),11)
107,107
screen,화면.
minimum,최소의
result =,결과 =
"File line 643, in http_error_default",파일 줄 643(http_error_default)
"raise HTTPError(req.full_url, code,","HTTP 오류 발생(req.full_url, 코드,"
fp),fp)
HTTP Error 400:,HTTP 오류 400:
Request,부탁한다
PS &,PS &
