------,------
signature,서명
setting-icon,설정 아이콘
ubuntu-18.04.6-desktop-amd64,unbuntu-18.04.6-1987-198764
20173158,20173158
20230516095100825,20230516095100825
BS,BS
2 (23),2 (23)
icon,아이콘
Realtime-Overlay-Translater-main,실시간-오버레이-번역기-메인
opency_contrib-4.7.0 (1),opency_cisco-4.7.0 (1)
opency_contrib-4.7.0,opency_module-4.7.0
Fifth Result,다섯 번째 결과
Forth R Result,4번째 R 결과
Third R Result,세 번째 R 결과
Second R Result,두 번째 R 결과
Result,결과
Fist R,주먹 R
testsource,테스트 소스
@ RStudio-2023.03.0-386,@ R스튜디오-2023.03.0-386
& (10),& (10)
@ 271,@ 271
2018,2018
PNG,PNG
CAS,CAS
Microsoft Power.,마이크로소프트 파워.
op op 8,op 8
Microsoft,마이크로소프트
Zip),Zip)
7D,7D
Jo,조
Microsoft ,마이크로소프트
Microsoft Edge,마이크로소프트 엣지
Microsoft Excel,마이크로소프트 엑셀
2023-05-19,2023-05-19
2023-05-17,2023-05-17
2023-05-16,2023-05-16
2023-05-10,2023-05-10
2023-05-09,2023-05-09
2023-05-04,2023-05-04
2023-05-03,2023-05-03
2023-04-27,2023-04-27
2023-04-26,2023-04-26
2023-04-25,2023-04-25
2023-03-20,2023-03-20
2022-03-26,2022-03-26
2022-11-17 7:36,2022-11-17 7:36
735,735
2:38,2:38
3:23,3:23
10.07,10.07
10:06,10:06
9:33,9:33
1137,1137
5:04,5:04
1134,1134
254,254
9:05,9:05
1230,1230
1227,1227
11:23,11:23
1:29,1:29
433,433
3:56,3:56
1001,1001
958,958
943,943
9:39,9:39
9:36,9:36
935,935
921,921
916,916
1033,1033
9:26,9:26
9:24,9:24
11:33,11:33
10:54,10:54
10:48,10:48
24KB,24KB
"2,455,200.","2,455,200."
29KB,29KB
"88,873KB","88,873KB"
9KB,9KB
72kB,72KB
"203,202kB","203,202KB"
"15,222kB","15,222kB"
